openTime,open,high,low,close,volume
1692916200000,35.162,35.162,35.162,35.162,3
1692916500000,35,35,34.908,35,742
1692916800000,34.9,34.9,34.9,34.9,250
1692917400000,35,35,35,35,200
1692918900000,35,35,35,35,6414
1692920400000,35.274,35.274,35.274,35.274,250
1692921300000,35.488,35.488,35.488,35.488,1
1692921600000,35.208,35.208,35.208,35.208,27
1692923400000,35,35.292,35,35.292,775
1692925800000,35.296,35.296,35.296,35.296,10
1692929100000,35.136,35.38,35.108,35.38,202
1692931500000,35,35,35,35,7250
1692932400000,35,35,35,35,1000
1692933600000,35.238,35.238,35.238,35.238,20
1692933900000,34.8,34.8,34.73,34.73,200
1692934500000,35.132,35.132,35.132,35.132,3
1692935100000,35.1,35.1,35.1,35.1,36
1692935400000,35.12,35.12,35.12,35.12,6
1692936000000,35,35,35,35,2214
1692936300000,35.12,35.12,35.12,35.12,1800
1692936900000,35.12,35.12,35.12,35.12,4
1692937200000,35.128,35.128,35.128,35.128,1
1692937800000,35.129,35.129,35.129,35.129,1700
1692938100000,35.129,35.129,35.129,35.129,400
1692944700000,35.256,35.256,35.256,35.256,7
1692946500000,35.262,35.272,35.262,35.272,750
1692947400000,35.356,35.356,35.356,35.356,5
1692948300000,35.368,35.368,35.368,35.368,100
1692950700000,35.371,35.371,35.371,35.371,20
1692952200000,35.388,35.388,35.388,35.388,2
1692958200000,35.496,35.496,35.496,35.496,148
1692960600000,35.499,35.499,35.499,35.499,4
1692963000000,35.49,35.49,35.49,35.49,20
1692966300000,35.479,35.48,35.479,35.48,60
1692972300000,35.308,35.308,35.129,35.13,404
1692972900000,35.172,35.172,35.172,35.172,100
1692973500000,35.18,35.18,35.18,35.18,3
1692974100000,35.214,35.214,35.214,35.214,1
1692975600000,35.204,35.204,35.129,35.129,228
1692977700000,35.136,35.136,35.136,35.136,20
1692978000000,35.129,35.129,34.899,35,2100
1692978600000,35,35,35,35,40
1692979200000,35,35,35,35,400
1692982200000,35.01,35.01,35.01,35.01,20
1692982500000,35.01,35.01,35.01,35.01,36
1692984000000,35.139,35.139,35.139,35.139,8
1692984300000,35.139,35.146,35.139,35.146,104
1692987600000,35.23,35.244,35.23,35.244,26
1692988500000,35.129,35.129,35.129,35.129,20
