openTime,open,high,low,close,volume
1691269200000,4138155,4138467,4137293,4138466,0.64
1691269500000,4138467,4138682,4137996,4137996,0.24
1691269800000,4139284,4139637,4139284,4139637,0.34
1691270100000,4139133,4140730,4139133,4140065,0.56
1691270400000,4140184,4140664,4139861,4140664,0.4
1691270700000,4140846,4140846,4140846,4140846,0.02
1691271000000,4139919,4139919,4139919,4139919,0.02
1691271300000,4140486,4140722,4139732,4140722,0.3
1691271600000,4140915,4141732,4140524,4140868,0.38
1691271900000,4141508,4141508,4140163,4140163,0.1
1691272200000,4140172,4140975,4139746,4139746,0.48
1691272500000,4139552,4139552,4139551,4139551,0.04
1691272800000,4140239,4140874,4138948,4140037,1.5
1691273100000,4140038,4140338,4139141,4139576,0.68
1691273400000,4139338,4139365,4138781,4138868,0.4
1691273700000,4139542,4139946,4139102,4139842,0.2
1691274000000,4139435,4139435,4139000,4139000,0.18
1691274300000,4139906,4140000,4139906,4140000,0.32
1691274600000,4139895,4140814,4139667,4139894,0.14
1691274900000,4140500,4142322,4140500,4141837,1.42
1691275200000,4141838,4142492,4141367,4141521,0.7
1691275500000,4141367,4142001,4140935,4142001,1.4
1691275800000,4141484,4141983,4141156,4141547,1.12
1691276100000,4141033,4141575,4141033,4141503,0.22
1691276400000,4141561,4141561,4141549,4141549,0.18
1691276700000,4140721,4140721,4140721,4140721,0.08
1691277000000,4140526,4140526,4139884,4140498,0.12
1691277300000,4139644,4139644,4139266,4139266,0.54
1691277900000,4139346,4140058,4139346,4140058,0.6
1691278200000,4139975,4140063,4138957,4139617,0.18
1691278500000,4139092,4139092,4139092,4139092,0.02
1691278800000,4139763,4140500,4139763,4139814,0.48
1691279100000,4139707,4139707,4139559,4139559,0.06
1691279400000,4140000,4141000,4139935,4141000,0.3
1691279700000,4139958,4140791,4139958,4140791,0.44
1691280000000,4139730,4140790,4139400,4140766,1
1691280300000,4140727,4140727,4138589,4139854,0.54
1691280600000,4139626,4140240,4139204,4139204,0.22
1691280900000,4139989,4139989,4138449,4138684,0.36
