openTime,open,high,low,close,volume
1692911100000,1047,1047,1047,1047,3
1692914100000,1050,1050,1050,1050,0.6
1692915300000,1048,1052,1048,1052,333.12
1692915600000,1052,1052,1052,1052,5.92
1692916500000,1050,1050,1050,1050,20
1692916800000,1050,1052,1047,1047,79.96
1692917100000,1053,1053,1048,1048,4.59
1692918600000,1052,1054,1052,1054,200
1692921000000,1054,1054,1054,1054,35.92
1692922800000,1054,1054,1054,1054,19
1692924000000,1054,1054,1054,1054,45.08
1692924900000,1052,1052,1052,1052,38.08
1692925500000,1052,1052,1052,1052,0.38
1692926100000,1052,1052,1052,1052,18.52
1692926400000,1052,1052,1052,1052,155.06
1692928200000,1052,1052,1052,1052,50
1692928800000,1052,1052,1052,1052,20
1692929100000,1052,1052,1052,1052,23
1692930000000,1052,1053,1052,1053,300
1692930600000,1050,1050,1040,1041,1349.54
1692931800000,1047,1047,1046,1046,24.8
1692932100000,1047,1047,1047,1047,2
1692932400000,1047,1047,1047,1047,1.68
1692933300000,1047,1047,1047,1047,0.08
1692933900000,1046,1046,1038,1038,12.2
1692934500000,1040,1040,1040,1040,57.6
1692935100000,1043,1043,1043,1043,29
1692935400000,1043,1043,1043,1043,1
1692936000000,1039,1039,1039,1039,14.76
1692936600000,1042,1042,1042,1042,9.58
1692936900000,1042,1042,1042,1042,20
1692937200000,1042,1042,1042,1042,20
1692937500000,1041,1041,1039,1039,50
1692939300000,1039,1039,1039,1039,2
1692939600000,1040,1040,1040,1040,20
1692940200000,1041,1041,1041,1041,38.32
1692940800000,1040,1040,1040,1040,19.18
1692941100000,1040,1040,1040,1040,0.82
1692942600000,1041,1042,1041,1042,40.82
1692943200000,1042,1043,1042,1043,220
1692943800000,1043,1043,1043,1043,20
1692944100000,1044,1044,1044,1044,0.12
1692944400000,1044,1045,1044,1045,38.38
1692946800000,1041,1041,1041,1041,20
1692947100000,1042,1045,1042,1045,38.24
1692947700000,1046,1046,1046,1046,57.3
1692950700000,1046,1046,1046,1046,97.36
1692951000000,1046,1049,1046,1049,19.04
1692951600000,1051,1051,1051,1051,8
1692953700000,1053,1053,1053,1053,56.92
1692954300000,1050,1050,1046,1046,200
1692954600000,1051,1052,1051,1052,37.98
1692955200000,1052,1052,1052,1052,353.98
1692955500000,1053,1059,1053,1059,75.46
1692957900000,1053,1053,1053,1053,12
1692958500000,1057,1057,1057,1057,18.9
1692959100000,1058,1058,1058,1058,20
1692960600000,1058,1058,1058,1058,0.04
1692963600000,1057,1057,1057,1057,20
1692964200000,1056,1056,1056,1056,20
1692965100000,1059,1059,1059,1059,20
1692965400000,1058,1058,1058,1058,10
1692967200000,1058,1058,1058,1058,18.86
1692968700000,1059,1060,1059,1060,75.32
1692969000000,1060,1060,1060,1060,18.84
1692969300000,1060,1060,1060,1060,105.44
1692972300000,1056,1056,1055,1055,44.08
1692972900000,1053,1053,1053,1053,20
1692973200000,1058,1058,1058,1058,18.86
1692973500000,1057,1057,1057,1057,0.06
1692973800000,1058,1058,1052,1052,3
1692974100000,1058,1058,1058,1058,0.02
1692975000000,1051,1051,1051,1051,22
1692976500000,1057,1057,1057,1057,18.88
1692978000000,1059,1059,1059,1059,51.06
1692981900000,1059,1059,1059,1059,173.24
1692982500000,1050,1053,1046,1050,691.28
1692982800000,1050,1050,1050,1050,237.02
1692984000000,1056,1056,1056,1056,0.08
1692987600000,1060,1060,1060,1060,0.8
1692988500000,1060,1060,1060,1060,0.04
1692991500000,1059,1059,1059,1059,10
