openTime,open,high,low,close,volume
1691270100000,3249,3252,3249,3252,0.03
1691276700000,3251,3251,3251,3251,0.1
1691277000000,3250,3250,3250,3250,1
1691279400000,3250,3250,3250,3250,0.04
1691280000000,3250,3256,3250,3256,6.28
1691280600000,3254,3254,3254,3254,0.01
1691282700000,3268,3268,3268,3268,0.1
1691283000000,3265,3265,3265,3265,0.1
1691284500000,3254,3254,3254,3254,0.04
1691285400000,3254,3254,3233,3233,6
1691286000000,3239,3239,3239,3239,1
1691286900000,3233,3233,3233,3233,1.12
1691288100000,3233,3233,3233,3233,8
1691288400000,3233,3233,3233,3233,10
1691290200000,3258,3258,3258,3258,0.1
1691290500000,3284,3284,3284,3284,0.1
1691291100000,3276,3276,3276,3276,6.1
1691292600000,3236,3236,3236,3236,0.11
1691294400000,3265,3265,3265,3265,1
1691295000000,3269,3271,3269,3271,16
1691296500000,3250,3250,3250,3250,0.12
1691297400000,3265,3265,3265,3265,2.9
1691298000000,3267,3267,3267,3267,1.23
1691298900000,3260,3267,3260,3267,5.2
1691299200000,3267,3267,3267,3267,0.82
1691299500000,3267,3267,3267,3267,0.14
1691301300000,3267,3282,3267,3282,30.05
1691303700000,3279,3279,3279,3279,18.3
1691305200000,3300,3300,3300,3300,6
1691308200000,3300,3300,3300,3300,0.44
1691308500000,3313,3313,3313,3313,1
1691308800000,3300,3300,3300,3300,6.1
1691309100000,3300,3300,3279,3279,6.1
1691309700000,3293,3331,3293,3324,241
1691310900000,3329,3329,3329,3329,8
1691311200000,3331,3332,3331,3332,16
1691311500000,3333,3333,3333,3333,6
1691313300000,3333,3333,3333,3333,3
1691313900000,3333,3334,3333,3334,39.58
1691314200000,3279,3279,3279,3279,0.04
1691314500000,3299,3299,3299,3299,4.3
1691314800000,3299,3299,3299,3299,1
